N,TempReal,dcPWM
1287,34.5,17
1288,34.7,17
1289,34.3,17
1290,34.0,17
1291,34.3,17
1292,33.3,17
1293,33.5,17
1294,33.2,17
1295,32.8,17
1296,32.6,17
1297,32.3,17
1298,32.1,17
1299,32.2,17
1300,32.0,17
1301,31.6,17
1302,31.8,17
1303,31.2,17
1304,31.6,17
1305,31.4,17
1306,30.8,17
1307,31.0,17
1308,30.5,17
1309,30.7,17
1310,30.2,17
1311,30.6,17
1312,30.3,17
1313,30.2,17
1314,30.1,17
1315,29.5,17
1316,29.4,17
1317,29.0,17
1318,29.5,17
1319,29.5,17
1320,28.3,17
1321,29.4,17
1322,29.3,17
1323,29.0,17
1324,29.5,17
1325,28.7,17
1326,29.5,17
1327,28.7,17
1328,29.8,17
1329,28.8,17
1330,28.9,17
1331,29.2,17
1332,28.3,17
1333,28.6,17
1334,28.2,17
1335,28.5,17
1336,28.6,17
1337,28.5,17
1338,26.9,17
1339,28.5,17
1340,29.2,17
1341,28.4,17
1342,28.6,17
1343,28.4,17
1344,27.8,17
1345,28.2,17
1346,28.4,17
1347,27.5,17
1348,28.2,17
1349,29.6,17
1350,28.6,17
1351,28.5,47
1352,28.1,47
1353,27.7,47
1354,28.0,47
1355,27.7,47
1356,26.8,47
1357,27.8,47
1358,27.8,47
1359,28.0,47
1360,27.8,47
1361,28.0,47
1362,29.7,47
1363,26.3,47
1364,28.0,47
1365,26.6,47
1366,28.0,47
1367,28.1,47
1368,28.3,47
1369,28.0,47
1370,28.0,47
1371,28.1,47
1372,28.3,47
1373,28.2,47
1374,28.0,47
1375,28.4,47
1376,28.2,47
1377,28.7,47
1378,28.5,47
1379,28.3,47
1380,28.5,47
1381,28.6,47
1382,28.8,47
1383,29.2,47
1384,29.2,47
1385,28.8,47
1386,29.1,47
1387,29.3,47
1388,29.7,47
1389,29.4,47
1390,29.6,47
1391,29.7,47
1392,29.7,47
1393,29.9,47
1394,30.2,47
1395,30.2,47
1396,29.9,47
1397,30.6,47
1398,30.7,47
1399,30.6,47
1400,30.7,47
1401,31.0,47
1402,31.3,47
1403,31.6,47
1404,31.6,47
1405,32.1,47
1406,32.0,47
1407,32.0,47
1408,32.3,47
1409,32.1,47
1410,32.6,47
1411,32.9,47
1412,32.4,47
1413,32.9,47
1414,33.1,47
1415,33.4,47
1416,33.4,47
1417,33.4,47
1418,33.6,47
1419,34.2,47
1420,34.2,47
1421,33.1,47
1422,34.3,47
1423,34.6,47
1424,34.3,47
1425,34.9,47
1426,34.9,47
1427,34.7,47
1428,35.0,47
1429,35.4,47
1430,35.3,47
1431,34.6,47
1432,35.7,47
1433,35.9,47
1434,35.7,47
1435,35.6,47
1436,36.0,47
1437,35.9,47
1438,35.6,47
1439,36.9,47
1440,36.6,47
1441,36.0,47
1442,37.1,47
1443,37.1,47
1444,37.4,47
1445,37.3,47
1446,37.3,47
1447,37.4,47
1448,37.7,47
1449,38.2,47
1450,38.2,47
1451,38.4,47
1452,38.5,47
1453,40.1,47
1454,38.6,47
1455,38.3,47
1456,38.4,47
1457,39.2,47
1458,39.1,47
1459,39.3,47
1460,39.5,47
1461,39.3,47
1462,39.7,47
1463,39.6,17
1464,40.0,17
1465,39.9,17
1466,40.4,17
1467,39.9,17
1468,40.4,17
1469,40.5,17
1470,40.9,17
1471,40.8,17
1472,40.7,17
1473,40.9,17
1474,40.8,17
1475,40.8,17
1476,41.3,17
1477,40.9,17
1478,41.1,17
1479,41.1,17
1480,41.0,17
1481,41.3,17
1482,41.3,17
1483,41.0,17
1484,41.1,17
1485,40.9,17
1486,40.9,17
1487,41.2,17
1488,40.3,17
1489,40.7,17
1490,40.6,17
1491,40.7,17
1492,40.0,17
1493,40.3,17
1494,40.2,17
1495,40.0,17
1496,40.7,17
1497,39.5,17
1498,39.3,17
1499,38.8,17
1500,38.5,17
1501,38.5,17
1502,38.6,17
1503,38.8,17
1504,38.5,17
1505,38.4,17
1506,38.0,17
1507,37.9,17
1508,37.5,17
1509,37.1,17
1510,37.0,17
1511,36.7,17
1512,37.0,17
1513,36.4,17
1514,36.1,17
1515,35.6,17
1516,35.9,17
1517,36.1,17
1518,35.7,17
1519,35.4,17
1520,35.4,17
1521,34.3,17
1522,35.0,17
1523,35.1,17
1524,34.8,17
1525,34.4,17
1526,34.2,17
1527,34.4,17
1528,34.4,17
1529,33.6,17
1530,33.3,17
1531,33.3,17
1532,33.3,17
1533,33.2,17
1534,33.0,17
1535,32.9,17
1536,32.5,17
1537,32.9,17
1538,31.8,17
1539,32.3,17
1540,32.0,17
1541,31.8,17
1542,31.9,17
1543,32.0,17
1544,31.6,17
1545,31.6,17
1546,31.3,17
1547,31.6,17
1548,31.1,17
1549,31.0,17
1550,30.8,17
1551,30.7,17
1552,31.0,17
1553,30.7,17
1554,30.4,17
1555,30.6,17
1556,30.0,17
1557,30.1,17
1558,30.0,17
1559,29.9,17
1560,29.7,17
1561,29.1,17
1562,29.9,17
1563,29.5,17
1564,29.7,17
1565,29.5,17
1566,29.7,17
1567,30.0,17
1568,30.0,17
1569,29.0,17
1570,29.1,17
1571,28.4,17
1572,28.9,17
1573,28.7,17
1574,27.7,17
1575,28.3,17
1576,28.2,17
1577,28.3,17
1578,28.4,17
1579,28.5,17
1580,28.2,17
1581,28.5,17
1582,28.1,17
1583,28.4,17
1584,28.5,17
1585,28.3,17
1586,27.9,17
1587,28.2,17
1588,28.1,17
1589,28.1,17
1590,27.8,17
1591,28.4,17
1592,27.9,17
1593,27.8,17
1594,27.7,17
1595,27.5,17
1596,26.8,17
1597,26.9,17
1598,28.4,17
1599,26.9,17
1600,26.8,17
1601,27.0,17
1602,27.0,17
1603,26.8,17
1604,26.8,17
1605,26.4,17
1606,27.0,17
1607,27.1,17
1608,27.0,17
1609,26.9,17
1610,26.8,17
1611,26.1,17
1612,25.7,17
1613,26.7,17
1614,26.7,17
1615,26.6,17
1616,27.0,17
1617,26.5,17
1618,26.5,17
1619,26.4,17
1620,26.6,17
1621,27.0,17
1622,26.0,17
1623,25.9,17
1624,26.7,17
1625,26.4,17
1626,26.7,17
1627,25.8,17
1628,25.8,17
1629,25.8,17
1630,25.9,17
1631,26.0,17
1632,25.9,17
1633,25.9,17
1634,25.7,17
1635,25.8,17
1636,25.7,17
1637,25.7,17
1638,25.9,17
1639,25.8,17
1640,25.7,17
1641,25.2,17
1642,25.7,17
1643,25.5,17
1644,25.0,17
1645,25.4,17
1646,25.5,17
1647,25.2,17
1648,25.4,17
1649,25.5,17
1650,25.3,17
1651,25.4,17
1652,24.8,17
1653,25.3,17
1654,25.1,17
1655,25.4,17
1656,25.2,17
1657,25.1,17
